,Unnamed: 0,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,michelin_star_count,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Unemployment Count,Unemployment Rate
81,92,Boka,2019,41.91363,-87.64806,Chicago,Chicago,60614,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1,ZCTA5 60614,71954,30.5,117138,88058,5614,1269,1.763626762
82,95,North Pond,2019,41.9296,-87.63762,Chicago,Chicago,60614,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1,ZCTA5 60614,71954,30.5,117138,88058,5614,1269,1.763626762
83,8,Alinea,2019,41.91328,-87.64798,Chicago,Chicago,60614,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/alinea,3,ZCTA5 60614,71954,30.5,117138,88058,5614,1269,1.763626762
84,93,Blackbird,2019,41.88423,-87.64356,Chicago,Chicago,60661,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1,ZCTA5 60661,10354,31.5,120000,90602,864,120,1.158972378
85,94,Sepia,2019,41.88394,-87.64247,Chicago,Chicago,60661,American,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1,ZCTA5 60661,10354,31.5,120000,90602,864,120,1.158972378
86,21,Oriole,2019,41.886196,-87.64513,Chicago,Chicago,60661,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole,2,ZCTA5 60661,10354,31.5,120000,90602,864,120,1.158972378
87,96,Everest,2019,41.87597,-87.63212,Chicago,Chicago,60605,French,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1,ZCTA5 60605,29060,33.6,111438,81496,2322,632,2.174810736
88,97,Topolobampo,2019,41.89047,-87.63085,Chicago,Chicago,60654,Mexican,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1,ZCTA5 60654,20022,33.2,122492,113241,1411,325,1.623214464
89,98,Spiaggia,2019,41.90062,-87.62457,Chicago,Chicago,60611,Italian,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1,ZCTA5 60611,33224,38.9,106906,110762,3497,665,2.001565134
90,204,Del Posto,2019,40.74327,-74.0077,New York,New York City,10011,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/del-posto,1,ZCTA5 10011,49949,41.4,138272,129365,4844,1260,2.522573024
91,211,Kosaka,2019,40.738316,-74.00137,New York,New York City,10011,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kosaka,1,ZCTA5 10011,49949,41.4,138272,129365,4844,1260,2.522573024
92,214,Blue Hill,2019,40.7321,-73.9996,New York,New York City,10011,American,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill,1,ZCTA5 10011,49949,41.4,138272,129365,4844,1260,2.522573024
93,216,Babbo,2019,40.73233,-73.99916,New York,New York City,10011,Italian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/babbo,1,ZCTA5 10011,49949,41.4,138272,129365,4844,1260,2.522573024
94,219,Aldea,2019,40.73885,-73.99366,New York,New York City,10011,Mediterranean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aldea,1,ZCTA5 10011,49949,41.4,138272,129365,4844,1260,2.522573024
95,208,Wallsé,2019,40.73538,-74.00814,New York,New York City,10014,Austrian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/wallse,1,ZCTA5 10014,30344,37.6,133501,128505,1735,1105,3.641576588
96,209,Jeju Noodle Bar,2019,40.732952,-74.00744,New York,New York City,10014,Korean,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jeju-noodle-bar,1,ZCTA5 10014,30344,37.6,133501,128505,1735,1105,3.641576588
