,Unnamed: 0,name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,michelin_star_count,one_or_more_stars
233,233,Jewel Bako,2019,40.72713,-73.98928,New York,New York City,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jewel-bako,1,1
234,234,The River Café,2019,40.703613,-73.994774,New York,New York City,11201,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-river-cafe,1,1
235,235,Bar Uchū,2019,40.72191,-73.99003,New York,New York City,10002,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-uchu,1,1
236,236,Café China,2019,40.749973,-73.98228,New York,New York City,10016,Chinese,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-china,1,1
237,237,Kanoyama,2019,40.73071,-73.98655,New York,New York City,10003,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kanoyama,1,1
238,238,Contra,2019,40.719917,-73.98922,New York,New York City,10002,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/contra,1,1
239,239,Atomix,2019,40.744408,-73.98292,New York,New York City,No Zip,Korean,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atomix,1,1
240,240,Kyo Ya,2019,40.7266,-73.98526,New York,New York City,10009,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kyo-ya,1,1
241,241,Kajitsu,2019,40.72776,-73.98428,New York,New York City,10016,Japanese,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kajitsu,1,1
242,242,Agern,2019,40.75234,-73.9775,New York,New York City,10017,Scandinavian,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/agern,1,1
243,243,Caviar Russe,2019,40.760685,-73.97355,New York,New York City,10022,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/caviar-russe,1,1
244,244,Tuome,2019,40.724194,-73.9828,New York,New York City,10009,Fusion,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tuome,1,1
245,245,Tempura Matsui,2019,40.74839,-73.97474,New York,New York City,10158,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tempura-matsui,1,1
246,246,Sushi Yasuda,2019,40.75108,-73.97364,New York,New York City,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-yasuda,1,1
247,247,Sushi Amane,2019,40.75133,-73.971725,New York,New York City,10017,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-amane,1,1
248,248,Café Boulud,2019,40.77439,-73.96414,New York,New York City,10021,French,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-boulud,1,1
249,249,Claro,2019,40.677395,-73.98615,New York,New York City,No Zip,Mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/claro,1,1
250,250,Satsuki,2019,40.801243,-73.95187,New York,New York City,10036,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/satsuki,1,1
251,251,Sushi Noz,2019,40.77384,-73.958275,New York,New York City,No Zip,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-noz,1,1
252,252,Sushi Inoue,2019,40.810448,-73.943726,New York,New York City,10027,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-inoue,1,1
253,253,Meadowsweet,2019,40.710354,-73.96317,New York,New York City,11212,Mediterranean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/meadowsweet,1,1
254,254,Casa Enríque,2019,40.743492,-73.95425,New York,New York City,11101,Mexican,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-enrique,1,1
255,255,Peter Luger,2019,40.70986,-73.96263,New York,New York City,11211,Steakhouse,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/peter-luger,1,1
256,256,Oxomoco,2019,40.730057,-73.95538,New York,New York City,11222,Mexican,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxomoco,1,1
257,257,The Finch,2019,40.68704,-73.96297,New York,New York City,11238,American,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-finch,1,1
258,258,Faro,2019,40.707584,-73.923035,New York,New York City,11237,American,$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/faro,1,1
398,398,Blue Duck Tavern,2019,38.905373,-77.05128,"Washington, D.C.",Washington DC,20037,American,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/blue-duck-tavern,1,1
399,399,Tail Up Goat,2019,38.9235,-77.043274,"Washington, D.C.",Washington DC,20009,Contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/tail-up-goat,1,1
400,400,Komi,2019,38.910107,-77.03836,"Washington, D.C.",Washington DC,20036,Mediterranean,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/komi,1,1
401,401,Sushi Taro,2019,38.909992,-77.03834,"Washington, D.C.",Washington DC,20036,Japanese,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/sushi-taro,1,1
402,402,Plume,2019,38.906,-77.03671,"Washington, D.C.",Washington DC,20036,European,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/plume,1,1
403,403,Siren by RW,2019,38.907776,-77.035446,"Washington, D.C.",Washington DC,20005,Seafood,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/siren-by-rw,1,1
404,404,Bresca,2019,38.91584,-77.0321,"Washington, D.C.",Washington DC,20000,Contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/bresca,1,1
405,405,The Dabney,2019,38.906292,-77.024666,"Washington, D.C.",Washington DC,20001,American,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-dabney,1,1
406,406,Métier,2019,38.903503,-77.0218,"Washington, D.C.",Washington DC,20001,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/metier,1,1
